1000,Winifred,674,2399,Madelene,Dunedin,Luxembourg,64
1001,Amelia,94,1850,Dorcy,Perth,Samoa,31
1002,Ayn,257,2389,Phyllis,Pristina,Zambia,52
1003,Rosaline,311,1146,Ehrman,Nashville,RWANDA,12
1004,Lindie,432,1386,Maroney,Jinan,Comoros,62
1005,Eve,89,2317,Leffen,Berlin,Haiti,12
1006,Correy,147,2168,Emanuel,Hargeisa,Korea,43
1007,Paulita,552,1995,Ovid,Hiroshima,Guinea,32
1008,Libbie,547,820,Margret,Puerto Rico,Bulgaria,52
1009,Henriette,53,2056,Brackely,Christchurch,Georgia,13
1010,Elbertina,545,1741,Land,Kandy,Sri Lanka,58
1011,Fayre,203,1186,Euridice,Campinas,Croatia,79
1012,Corry,493,1557,Waldron,Rochester,France,49
1013,Bibby,170,1040,Zitvaa,Melekeok,Cambodia,26
1014,Fawne,5,1931,Nedrud,Chisinau,Grenada,41
1015,Tori,124,1042,Pernick,Ankara,Thailand,69
1016,Aaren,291,1877,Berne,Nuul,Greenland,45
1017,Georgetta,666,1267,Ricarda,Thies,Mauritius,7
1018,Rosaline,457,835,Willie,Abu Dhabi,Jamaica,21
1019,Livvyy,98,2150,Sacken,Phuket,RWANDA,92
1020,Kush,95,1500,Google,Kota,Georgia,43
1021,Robert,23,988,Amazon,London,Sri Lanka,32
1022,Divya,11,56,Amazon,Berlin,Croatia,52
1023,Radha,48,56,Google,Hargeisa,France,13
1024,Reshma,895,74,Tesla,Hiroshima,Cambodia,58
1025,Rahul,237,899,Microsoft,Puerto Rico,Grenada,79
1026,Faisal,666,748,HTC,Christchurch,Thailand,49
1027,Mithish,0,555,Redmi,Kandy,Greenland,26
1028,Priya,946,145,Samsung,Jaipur,Mauritius,41
1029,Arya,899,697,XIY,Gwadar,Sri Lanka,69
